nombretitulo,institucion,niveltitulo
OBSTETRIZ,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
MAGISTER EN PREVENCION DE RIESGOS Y SALUD OCUPACIONAL,UNIVERSIDAD DE ACONCAGUA,CUARTO NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI,TERCER NIVEL
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
ESPECIALISTA DE PRIMER GRADO EN ENDOCRINOLOGIA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD UTE,TERCER NIVEL
MAGISTER EN SALUD OCUPACIONAL,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
ESPECIALISTA EN ANATOMIA PATOLOGICA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
OBSTETRIZ,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN PSICOLOGIA DE LA SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN HEMATOLOGIA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MASTER EN TRASPLANTE Y MEDICINA CAPILAR,UNIVERSIDAD DE ALCALÁ,CUARTO NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MAGISTER EN CUIDADOS PALIATIVOS,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SEXOLOGIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
DOCTORA EN MEDICINA Y CIRUGIA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
MAGISTER EN MICROBIOLOGIA,UNIVERSIDAD DE CHILE,CUARTO NIVEL
ESPECIALISTA EN MEDICINA DE EMERGENCIAS Y DESASTRES,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
DIPLOMA SUPERIOR DE CUARTO NIVEL EN DESARROLLO LOCAL Y SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
MASTER UNIVERSITARIO EN PREVENCION EN DROGODEPENDENCIAS Y OTRAS CONDUCTAS ADICTIVAS,UNIVERSIDAD INTERNACIONAL VALENCIANA,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
MAGISTER EN QUIMICA APLICADA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
BIOQUIMICA FARMACEUTICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAGISTER EN GESTION DE LA CALIDAD Y AUDITORIA EN SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
BIOQUIMICA FARMACEUTICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN PSICOLOGIA,UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
ESPECIALISTA EN UROLOGIA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
MASTER UNIVERSITARIO EN GESTION DE LA SEGURIDAD CLINICA DEL PACIENTE Y CALIDAD DE LA ATENCION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
BIOQUIMICO/A FARMACEUTICO/A,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
BIOQUIMICA FARMACEUTICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DE AMBATO,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN PATOLOGIA Y CIRUGIA BUCAL,PONTIFICIA UNIVERSIDAD JAVERIANA,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MASTER UNIVERSITARIO EN PSICOTERAPIA SISTEMICO-RELACIONAL,UNIVERSIDAD DE DEUSTO,CUARTO NIVEL
ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
MAGISTER EN GERENCIA DE INSTITUCIONES DE SALUD,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MEDICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
MAESTRO EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
ESPECIALISTA EN ATENCION PRIMARIA DE LA SALUD,UNIVERSIDAD ESTATAL DE BOLIVAR,CUARTO NIVEL
ESPECIALISTA EN CIRUGIA VASCULAR Y ENDOVASCULAR ,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN TERAPIA FISICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
DOCTOR EN MEDICINA Y CIRUGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA DE SERVICIOS DE LA SALUD,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN ATENCION EN EMERGENCIAS Y DESASTRES,UNIVERSIDAD ESTATAL DE MILAGRO,CUARTO NIVEL
MEDICO,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAESTRO EN CIENCIAS MEDICAS CON ESPECIALIDAD EN CIRUGIA ONCOLOGICA,UNIVERSIDAD DE SAN CARLOS DE GUATEMALA,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA,TERCER NIVEL
LICENCIADA EN TERAPIA FISICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO/A SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO SUDAMERICANO,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MAGISTER EN SALUD PUBLICA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
PSICOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO CIRUJANO,UNIVERSIDAD DEL ZULIA,TERCER NIVEL
MEDICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN NUTRICION DIETETICA Y ESTETICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN TERAPIA DE LENGUAJE,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADA EN NUTRICION DIETETICA Y ESTETICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
QUIMICO Y FARMACEUTICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNICO SUPERIOR DE ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
PSICOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICO Y FARMACEUTICO ,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA EN SEGURIDAD Y SALUD EN EL TRABAJO,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,CUARTO NIVEL
MAGISTER EN PSICOLOGIA CLINICA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
ESPECIALISTA EN DERMATOLOGIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADA EN CIENCIAS DE LA ENFERMERIA,UNIVERSIDAD ESTATAL DE BOLIVAR,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DEL PACIFICO ESCUELA DE NEGOCIOS,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
BACHELOR OF SICIENCE IN KINESIOLOGY OPTION REHABILITATION AND THERAPEUTIC EXERCISE,CALIFORNIA STATE UNIVERSITY LOS ANGELES,TERCER NIVEL
QUIMICO Y FARMACEUTICO ,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
LICENCIADO EN TERAPIA FISICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN PSICOLOGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
OBSTETRIZ,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN ANESTESIOLOGIA,UNIVERSIDAD CENTROCCIDENTAL LISANDRO ALVARADO,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
QUIMICO Y FARMACEUTICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
DOCTORA EN ODONTOLOGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
ESPECIALISTA EN MEDICINA CRITICA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
ESPECIALISTA EN MEDICINA CRITICA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADO EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
DOCTORA EN MEDICINA Y CIRUGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR DE ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN GERENCIA DE SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN TERAPIA DE LENGUAJE,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE CARABOBO,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN NEUROPSICOLOGIA DEL APRENDIZAJE,UNIVERSIDAD ESTATAL DE MILAGRO,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN PSICOLOGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO ESPECIALISTA EN DERMATOLOGIA,ASOCIACION ARGENTINA DE DERMATOLOGIA,CUARTO NIVEL
PSICOLOGO,UNIVERSIDAD RAFAEL URDANETA,TERCER NIVEL
MAGISTER EN PSICOLOGIA CLINICA MENCION EN PSICOTERAPIA INFANTIL Y DE ADOLESCENTES,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN DIETETICA Y NUTRICION,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA DE SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
LICENCIADA EN TERAPIA RESPIRATORIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SALUD PUBLICA,UNIVERSIDAD ESTATAL DE MILAGRO,CUARTO NIVEL
